player_id,first_name,last_name,position,status,team
1408,Le'Veon,Bell,RB,Active,TB
11533,Brandon,Aubrey,K,Active,DAL
9487,Parker,Washington,WR,Active,JAX
6918,Salvon,Ahmed,RB,Inactive,IND
6786,CeeDee,Lamb,WR,Active,DAL
11584,Bucky,Irving,RB,Active,TB
11649,Kendall,Milton,RB,Active,CIN
6783,Jerry,Jeudy,WR,Active,CLE
11616,Jacob,Cowing,WR,Inactive,SF
5965,Miles,Boykin,WR,Active,CHI
4992,Dante,Pettis,WR,Active,NO
9504,Kayshon,Boutte,WR,Active,NE
12507,Omarion,Hampton,RB,Inactive,LAC
11439,Jaleel,McLaughlin,RB,Active,DEN
11629,Devontez,Walker,WR,Active,BAL
12493,Oronde,Gadsden,TE,Active,LAC
12699,LaJohntay,Wester,WR,Active,BAL
7553,Kyle,Pitts,TE,Active,ATL
5845,Dwayne,Haskins,QB,Active,PIT
11304,E.J.,Jenkins,TE,Active,PHI
19,Joe,Flacco,QB,Active,CIN
4054,Mo,Alie-Cox,TE,Active,IND
3423,Robbie,Chosen,WR,Active,WAS
12848,Josh,Kelly,WR,Active,HOU
8698,Jake,Tonges,TE,Active,SF
12971,Ke'Shawn,Williams,WR,Active,PIT
6016,Dax,Raymond,TE,Active,PIT
11157,Brycen,Tremayne,WR,Active,CAR
8116,Pierre,Strong,RB,Active,GB
7585,Davis,Mills,QB,Active,HOU
8025,Adam,Prentice,FB,Active,DEN
2359,Ameer,Abdullah,RB,Active,IND
5854,Drew,Lock,QB,Active,SEA
7593,Trey,Sermon,RB,Active,PIT
11579,Audric,Estime,RB,Active,NO
HOU,Houston,Texans,DEF,,HOU
3294,Dak,Prescott,QB,Active,DAL
421,Matthew,Stafford,QB,Active,LAR
11636,Johnny,Wilson,WR,Inactive,PHI
8134,Khalil,Shakir,WR,Active,BUF
7828,Noah,Gray,TE,Active,KC
NE,New England,Patriots,DEF,,NE
11557,Joe,Milton,QB,Active,DAL
5995,Justice,Hill,RB,Active,BAL
12925,Jamaal,Pritchett,WR,Active,NYJ
12517,Colston,Loveland,TE,Active,CHI
8138,James,Cook,RB,Active,BUF
7262,Jalen,Morton,QB,Active,IND
8119,Jahan,Dotson,WR,Active,PHI
8194,Jashaun,Corbin,RB,Active,NE
12542,Efton,Chism,WR,Active,NE
7049,Jauan,Jennings,WR,Active,SF
8136,Rachaad,White,RB,Active,TB
11610,Malik,Washington,WR,Active,MIA
4943,Sam,Darnold,QB,Active,SEA
10228,Charlie,Jones,WR,Active,CIN
829,Andy,Dalton,QB,Active,CAR
10222,Jayden,Reed,WR,Inactive,GB
11311,Jason,Brownlee,WR,Active,KC
12532,Ja'Corey,Brooks,WR,Active,WAS
11370,Chris,Brooks,RB,Active,GB
11574,Dylan,Laube,RB,Active,LV
6323,Andrew,Beck,RB,Active,NYJ
6927,Quez,Watkins,WR,Active,PHI
8111,Cade,Otton,TE,Active,TB
3269,Chris,Moore,WR,Active,WAS
12374,Brenden,Bates,TE,Active,CLE
12866,Jalin,Conyers,TE,Inactive,MIA
11647,Kimani,Vidal,RB,Active,LAC
7608,Khalil,Herbert,RB,Active,NYJ
4227,Harrison,Butker,K,Active,KC
8484,Ko,Kieft,TE,Inactive,TB
2471,Michael,Burton,FB,Inactive,DEN
9488,Jaxon,Smith-Njigba,WR,Active,SEA
9510,Lew,Nichols,RB,Active,PIT
11571,Isaiah,Davis,RB,Active,NYJ
7526,Jaylen,Waddle,WR,Active,MIA
13079,Jahdae,Walker,WR,Active,CHI
13047,Jacardia,Wright,RB,Active,SEA
BAL,Baltimore,Ravens,DEF,,BAL
2944,Matt,LaCosse,TE,Active,NE
6820,Clyde,Edwards-Helaire,RB,Active,KC
4666,Younghoe,Koo,K,Active,NYG
2197,Brandin,Cooks,WR,Active,NO
5870,Daniel,Jones,QB,Active,IND
5844,T.J.,Hockenson,TE,Active,MIN
12961,Ryan,Fitzgerald,K,Active,CAR
10955,Chad,Ryland,K,Active,ARI
12529,TreVeyon,Henderson,RB,Active,NE
7933,Alex,Kessman,K,Active,CAR
4127,C.J.,Beathard,QB,Active,DET
5957,Isaac,Nauta,TE,Inactive,GB
7601,Rondale,Moore,WR,Inactive,MIN
12535,Isaac,TeSlaa,WR,Active,DET
6790,D'Andre,Swift,RB,Active,CHI
1373,Geno,Smith,QB,Active,LV
12491,Corey,Kiner,RB,Active,MIN
6768,Tua,Tagovailoa,QB,Active,MIA
6130,Devin,Singletary,RB,Active,NYG
5004,Ito,Smith,RB,Active,DAL
6904,Jalen,Hurts,QB,Active,PHI
7538,Zach,Wilson,QB,Active,MIA
7561,Elijah,Mitchell,RB,Active,KC
11635,Ladd,McConkey,WR,Active,LAC
12475,Ricky,White,WR,Active,SEA
8154,Brian,Robinson,RB,Active,SF
11806,Casey,Washington,WR,Active,ATL
6111,Jake,Browning,QB,Active,CIN
13080,Deion,Hankins,RB,Inactive,CHI
7583,Sam,Ehlinger,QB,Active,DEN
5284,Jeff,Wilson,RB,Active,MIA
11510,Hunter,Luepke,FB,Active,DAL
4744,Barrett,Burns,TE,Active,BAL
11620,Rome,Odunze,WR,Active,CHI
10232,Michael,Wilson,WR,Active,ARI
PIT,Pittsburgh,Steelers,DEF,,PIT
6804,Jordan,Love,QB,Active,GB
5121,Braxton,Berrios,WR,Active,HOU
7093,Adrian,Killins,RB,Inactive,DEN
6083,Matt,Gay,K,Active,WAS
IND,Indianapolis,Colts,DEF,,IND
8147,John,Metchie,WR,Active,NYJ
11592,Erick,All,TE,Active,CIN
7496,Nick,Westbrook-Ikhine,WR,Active,MIA
3634,Kalif,Raymond,WR,Active,DET
5773,KhaDarel,Hodge,WR,Active,ATL
4574,Cooper,Rush,QB,Active,BAL
9998,Hendon,Hooker,QB,Active,CAR
8500,John,FitzPatrick,TE,Active,GB
4037,Chris,Godwin,WR,Active,TB
5906,Dawson,Knox,TE,Active,BUF
7812,Simi,Fehoko,WR,Active,ARI
12908,Chandler,Brayboy,WR,Active,JAX
1979,Blake,Bortles,QB,Active,NO
11921,Xavier,Weaver,WR,Active,ARI
260,Josh,Johnson,QB,Active,WAS
1837,Jimmy,Garoppolo,QB,Active,LAR
8259,Cameron,Dicker,K,Active,LAC
10220,Will,Mallory,TE,Active,IND
13128,Rushawn,Baker,RB,Active,NE
8205,Isiah,Pacheco,RB,Active,KC
1166,Kirk,Cousins,QB,Active,ATL
5185,Allen,Lazard,WR,Active,NYJ
8110,Jake,Ferguson,TE,Active,DAL
7842,Luke,Farrell,TE,Active,SF
4082,Curtis,Samuel,WR,Active,BUF
7048,Benny,LeMay,RB,Active,CLE
3239,Bronson,Kaufusi,TE,Active,GB
1339,Zach,Ertz,TE,Active,WAS
11280,Brady,Russell,TE,Active,SEA
11589,Trey,Benson,RB,Inactive,ARI
13173,Jimmy,Holiday,WR,Active,KC
10867,Jake,Bobo,WR,Active,SEA
8131,Isaiah,Likely,TE,Active,BAL
4046,Patrick,Mahomes,QB,Active,KC
ARI,Arizona,Cardinals,DEF,,ARI
3286,Demarcus,Robinson,WR,Active,SF
11608,Isaiah,Williams,WR,Active,NYJ
12524,Shedeur,Sanders,QB,Active,CLE
SEA,Seattle,Seahawks,DEF,,SEA
7564,Ja'Marr,Chase,WR,Active,CIN
8177,Grant,Calcaterra,TE,Active,PHI
8125,Calvin,Austin,WR,Active,PIT
7746,Austin,Trammell,WR,Active,JAX
7587,Dyami,Brown,WR,Active,JAX
LV,Las Vegas,Raiders,DEF,,LV
7839,Evan,McPherson,K,Active,CIN
8117,Jalen,Tolbert,WR,Active,DAL
6797,Justin,Herbert,QB,Active,LAC
5781,Malik,Turner,WR,Active,SF
6801,Tee,Higgins,WR,Active,CIN
10859,Sam,LaPorta,TE,Active,DET
8660,Leroy,Watson,TE,Active,LV
12792,Garrett,Greene,QB,Active,TB
812,Lee,Smith,TE,Active,ATL
8921,Maurice,Alexander,WR,Active,CHI
11633,Jamari,Thrash,WR,Active,CLE
13189,Luke,Floriea,WR,Active,CLE
6386,Alex,Bachman,WR,Active,LV
4443,Pharaoh,Brown,TE,Active,ARI
11237,Jacob,Saylors,RB,Active,DET
8414,Britain,Covey,WR,Active,PHI
9501,DeMario,Douglas,WR,Active,NE
8180,Jalen,Nailor,WR,Active,MIN
1737,Case,Keenum,QB,Active,CHI
12519,Luther,Burden,WR,Active,CHI
9486,Dontayvion,Wicks,WR,Active,GB
NYJ,New York,Jets,DEF,,NYJ
12455,Brashard,Smith,RB,Active,KC
4881,Lamar,Jackson,QB,Active,BAL
10937,Jake,Moody,K,Active,CHI
10870,Deneric,Prince,RB,Inactive,NE
11618,Jalen,McMillan,WR,Inactive,TB
4219,Jeremy,McNichols,RB,Active,WAS
13202,Dalevon,Campbell,WR,Active,LAC
10983,Sean,Clifford,QB,Active,CIN
2133,Davante,Adams,WR,Active,LAR
96,Aaron,Rodgers,QB,Active,PIT
5872,Deebo,Samuel,WR,Active,WAS
12941,Bryson,Nesbit,TE,Active,MIN
9480,Brenton,Strange,TE,Inactive,JAX
12545,Tyler,Shough,QB,Active,NO
827,Tyrod,Taylor,QB,Active,NYJ
6650,Chase,McLaughlin,K,Active,TB
4892,Baker,Mayfield,QB,Active,TB
4137,James,Conner,RB,Inactive,ARI
8145,Jeremy,Ruckert,TE,Active,NYJ
12068,Mason,Pline,TE,Inactive,NO
11961,Emory,Jones,QB,Inactive,ATL
12518,Tyler,Warren,TE,Active,IND
11261,Andre,Szmyt,K,Active,CLE
7106,Lawrence,Cager,TE,Active,WAS
9506,Sean,Tucker,RB,Active,TB
7607,Michael,Carter,RB,Active,ARI
8167,Christian,Watson,WR,Active,GB
7599,Jermar,Jefferson,RB,Active,ARI
12897,Nathan,Carter,RB,Active,ATL
5223,Caleb,Scott,WR,Active,TEN
9999,Will,Levis,QB,Inactive,TEN
12509,Tre',Harris,WR,Active,LAC
5947,Jakobi,Meyers,WR,Active,LV
12946,Dontae,Fleming,WR,Active,MIN
11651,Isaac,Guerendo,RB,Active,SF
12385,Jude,McAtamney,K,Active,NYG
8932,Lucas,Havrisik,K,Active,GB
12700,Gavin,Bartholomew,TE,Active,MIN
3271,Tyler,Higbee,TE,Active,LAR
12761,Jordan,Moore,WR,Active,CIN
4988,Nick,Chubb,RB,Active,HOU
11638,Ricky,Pearsall,WR,Active,SF
12514,Emeka,Egbuka,WR,Active,TB
7569,Nico,Collins,WR,Active,HOU
6659,Craig,Reynolds,RB,Active,DET
9228,Bryce,Young,QB,Active,CAR
12487,Terrance,Ferguson,TE,Active,LAR
DAL,Dallas,Cowboys,DEF,,DAL
10221,Ronnie,Bell,WR,Active,NO
5973,Josh,Oliver,TE,Active,MIN
8408,Jordan,Mason,RB,Active,MIN
11650,Luke,McCaffrey,WR,Active,WAS
4195,Jake,Elliott,K,Active,PHI
7021,Rico,Dowdle,RB,Active,CAR
11895,Mason,Tipton,WR,Active,NO
11630,Roman,Wilson,WR,Active,PIT
7083,Tyler,Huntley,QB,Active,BAL
12735,Caleb,Lohner,TE,Active,DEN
8137,George,Pickens,WR,Active,DAL
5987,Alexander,Mattison,RB,Inactive,MIA
8135,Treylon,Burks,WR,Active,WAS
7694,Tommy,Tremble,TE,Active,CAR
9484,Tucker,Kraft,TE,Active,GB
10215,Jake,Haener,QB,Active,NO
11597,Theo,Johnson,TE,Active,NYG
11576,Braelon,Allen,RB,Inactive,NYJ
7596,Elijah,Moore,WR,Active,BUF
8799,Zaire,Mitchell-Paden,TE,Active,NO
8146,Garrett,Wilson,WR,Active,NYJ
6040,Tyree,Jackson,TE,Inactive,WAS
4663,Austin,Ekeler,RB,Inactive,WAS
9511,Keaton,Mitchell,RB,Active,BAL
7521,Chris,Blair,WR,Active,ATL
12543,Tahj,Brooks,RB,Active,CIN
7438,Kristian,Wilkerson,WR,Active,BUF
13213,Lucas,Scott,FB,Active,BAL
8208,Tyler,Badie,RB,Active,DEN
1604,Nick,Williams,WR,Active,DEN
WAS,Washington,Commanders,DEF,,WAS
11586,Blake,Corum,RB,Active,LAR
8225,Daniel,Bellinger,TE,Active,NYG
12959,Bryce,Pierre,TE,Active,CAR
5938,Lil'Jordan,Humphrey,WR,Active,NYG
12504,Kaleb,Johnson,RB,Active,PIT
12079,Treyton,Welch,TE,Active,NO
12474,Woody,Marks,RB,Active,HOU
11644,Cody,Schrader,RB,Active,JAX
6465,Thomas,Ives,WR,Inactive,CHI
4040,JuJu,Smith-Schuster,WR,Active,KC
8206,Skylar,Thompson,QB,Inactive,PIT
12171,British,Brooks,RB,Active,HOU
5110,Russell,Gage,WR,Active,SF
3321,Tyreek,Hill,WR,Inactive,MIA
8013,Tim,Jones,WR,Active,JAX
13074,Isaiah,Neyor,WR,Active,GB
6185,Easton,Stick,QB,Active,ATL
LAC,Los Angeles,Chargers,DEF,,LAC
2216,Mike,Evans,WR,Inactive,TB
7562,Tutu,Atwell,WR,Inactive,LAR
7149,Tommy,Stevens,TE,Active,NYG
8132,Tyler,Allgeier,RB,Active,ATL
12523,Jimmy,Horn,WR,Active,CAR
8254,Julius,Chestnut,RB,Active,TEN
5288,Donnie,Ernsberger,TE,Inactive,TEN
8107,Nikola,Kalinic,TE,Active,CHI
12489,RJ,Harvey,RB,Active,DEN
8157,Bailey,Zappe,QB,Active,CLE
8223,Velus,Jones,WR,Active,SEA
7535,Hunter,Long,TE,Active,JAX
12482,Savion,Williams,WR,Active,GB
8088,Kalif,Jackson,TE,Active,MIA
11384,Owen,Wright,RB,Active,TB
11959,Bryce,Oliver,WR,Active,TEN
11511,John,Stephens,TE,Inactive,DAL
8253,Deven,Thompkins,WR,Active,ATL
11964,Dayton,Wade,WR,Inactive,BAL
8861,Irvin,Charles,WR,Active,NYJ
4351,Tim,Patrick,WR,Active,JAX
9220,Evan,Hull,RB,Active,NO
11596,Ben,Sinnott,TE,Active,WAS
1706,Jack,Doyle,TE,Active,IND
3198,Derrick,Henry,RB,Active,BAL
4926,Nick,Schuessler,QB,Active,PIT
12522,Cam,Ward,QB,Active,TEN
8143,Jerome,Ford,RB,Active,CLE
6694,D'Ernest,Johnson,RB,Active,NE
12496,Tai,Felton,WR,Active,MIN
12656,Robbie,Ouzts,RB,Inactive,SEA
6847,Devin,Duvernay,WR,Active,CHI
2750,DeAndre,Carter,WR,Inactive,CLE
9493,Puka,Nacua,WR,Active,LAR
10226,Andrei,Iosivas,WR,Active,CIN
13116,Tre,Watson,TE,Active,KC
6996,JaMycal,Hasty,RB,Active,MIA
12765,Keleki,Latu,TE,Active,BUF
11617,Malachi,Corley,WR,Active,CLE
TB,Tampa Bay,Buccaneers,DEF,,TB
4981,Calvin,Ridley,WR,Active,TEN
4171,Josh,Reynolds,WR,Inactive,NYJ
7946,Jack,Stoll,TE,Active,NO
10224,Brayden,Willis,TE,Active,SF
8160,Kenny,Pickett,QB,Active,LV
9479,Darnell,Washington,TE,Active,PIT
11577,Will,Shipley,RB,Active,PHI
12540,Chimere,Dike,WR,Active,TEN
CLE,Cleveland,Browns,DEF,,CLE
5859,A.J.,Brown,WR,Active,PHI
4034,Christian,McCaffrey,RB,Active,SF
6699,Gunner,Olszewski,WR,Active,NYG
4263,Elijah,McGuire,RB,Active,KC
11940,JaQuae,Jackson,WR,Active,LAC
7591,Justin,Fields,QB,Active,NYJ
5134,Keith,Kirkwood,WR,Active,BAL
4866,Saquon,Barkley,RB,Active,PHI
13217,Hunter,Dekkers,QB,Active,NO
8170,James,Mitchell,TE,Active,CAR
13110,Zach,Horton,TE,Active,DET
5119,Jason,Sanders,K,Inactive,MIA
5967,Tony,Pollard,RB,Active,TEN
8076,Michael,Bandy,WR,Active,DEN
12756,Stephen,Gosnell,WR,Active,BUF
12048,George,Holani,RB,Active,SEA
10217,Clayton,Tune,QB,Active,GB
12888,Dalen,Cambre,WR,Active,NYG
12641,Jaylin,Lane,WR,Active,WAS
10213,Tre,Tucker,WR,Active,LV
8130,Trey,McBride,TE,Active,ARI
7536,Quintin,Morris,TE,Active,JAX
8142,Alec,Pierce,WR,Active,IND
6964,Sean,McKeon,TE,Active,IND
11648,Kedon,Slovis,QB,Active,ARI
3214,Hunter,Henry,TE,Active,NE
3976,Mitchell,Trubisky,QB,Active,BUF
7523,Trevor,Lawrence,QB,Active,JAX
12508,Jaxson,Dart,QB,Active,NYG
4066,Evan,Engram,TE,Active,DEN
12533,Jacory,Croskey-Merritt,RB,Active,WAS
3048,Chris,Manhertz,TE,Active,NYG
5903,Will,Grier,QB,Active,DAL
6945,Antonio,Gibson,RB,Inactive,NE
12787,Josh,Williams,RB,Active,TB
17,Matt,Prater,K,Active,BUF
8227,Teagan,Quitoriano,TE,Active,ATL
11565,J.J.,McCarthy,QB,Active,MIN
11859,John Rhys,Plumlee,QB,Active,PIT
8220,Sincere,McCormick,RB,Active,SF
8676,Rashid,Shaheed,WR,Active,NO
6271,Olamide,Zaccheaus,WR,Active,CHI
6866,KJ,Hill,WR,Active,LAC
11792,Will,Reichard,K,Active,MIN
6920,Isaiah,Hodgins,WR,Active,PIT
12527,Ashton,Jeanty,RB,Active,LV
10225,Jonathan,Mingo,WR,Active,DAL
12470,Riley,Leonard,QB,Active,IND
12473,Mitchell,Evans,TE,Active,CAR
ATL,Atlanta,Falcons,DEF,,ATL
10219,Chris,Rodriguez,RB,Active,WAS
4983,DJ,Moore,WR,Active,CHI
5022,Dallas,Goedert,TE,Active,PHI
12849,Traeshon,Holden,WR,Active,DAL
CAR,Carolina,Panthers,DEF,,CAR
7436,Mason,Kinsey,WR,Active,TEN
1689,Adam,Thielen,WR,Active,MIN
11082,Ben,Sims,TE,Active,MIN
8755,Kaden,Davis,WR,Active,CLE
12495,Ollie,Gordon,RB,Active,MIA
4602,Robert,Tonyan,TE,Active,KC
4189,Eric,Saubert,TE,Active,SEA
5133,Tyler,Conklin,TE,Active,LAC
8221,Keaontay,Ingram,RB,Inactive,KC
8917,KaVontae,Turpin,WR,Active,DAL
11655,Tyrone,Tracy,RB,Active,NYG
12775,Max,Brosmer,QB,Active,MIN
12901,Patrick,Herbert,TE,Active,JAX
2374,Tyler,Lockett,WR,Active,LV
6957,James,Proche,WR,Active,TEN
3357,Brandon,Allen,QB,Active,TEN
10229,Rashee,Rice,WR,Active,KC
3050,Myles,White,WR,Active,NYJ
12776,Connor,Bazelak,QB,Active,TB
JAX,Jacksonville,Jaguars,DEF,,JAX
9226,De'Von,Achane,RB,Active,MIA
9494,Marvin,Mims,WR,Active,DEN
11559,Michael,Penix,QB,Active,ATL
4993,Mike,Gesicki,TE,Inactive,CIN
LAR,Los Angeles,Rams,DEF,,LAR
12928,Amar,Johnson,RB,Active,LAC
12113,Thomas,Yassmin,TE,Active,LAC
11627,Troy,Franklin,WR,Active,DEN
5955,Hunter,Renfrow,WR,Active,CAR
1592,Darren,Fells,TE,Active,TB
3868,Jalen,Richard,RB,Active,LV
13151,Nick,Kallerup,TE,Active,SEA
11654,Dante,Miller,RB,Active,NYG
6869,Adam,Trautman,TE,Active,DEN
9509,Bijan,Robinson,RB,Active,ATL
7525,DeVonta,Smith,WR,Active,PHI
12530,Travis,Hunter,WR,Active,JAX
11292,Tommy,DeVito,QB,Active,NE
12476,Devin,Neal,RB,Active,NO
12511,Will,Howard,QB,Inactive,PIT
8002,Shane,Buechele,QB,Active,BUF
8207,Tyler,Goodson,RB,Active,IND
12490,Bhayshul,Tuten,RB,Active,JAX
1945,Chris,Boswell,K,Active,PIT
12478,Nick,Nash,WR,Active,ATL
12457,Jaydon,Blue,RB,Active,DAL
12548,Lenny,Krieg,K,Active,ATL
7039,Cody,White,WR,Active,SEA
2749,Raheem,Mostert,RB,Active,LV
8112,Drake,London,WR,Active,ATL
11632,Malik,Nabers,WR,Inactive,NYG
4177,Mack,Hollins,WR,Active,NE
12757,Hal,Presley,WR,Active,TEN
12983,Brock,Lampe,FB,Inactive,NE
5848,Marquise,Brown,WR,Active,KC
3832,C.J.,Ham,FB,Active,MIN
11371,Julian,Hill,TE,Active,MIA
6598,Trenton,Irwin,WR,Active,NYJ
12715,Thomas,Fidone,TE,Active,NYG
10857,Stetson,Bennett,QB,Active,LAR
9229,Anthony,Richardson,QB,Inactive,IND
6770,Joe,Burrow,QB,Inactive,CIN
11624,Xavier,Worthy,WR,Active,KC
11994,Kameron,Johnson,WR,Active,TB
10227,Payne,Durham,TE,Active,TB
10214,Davis,Allen,TE,Active,LAR
